qta,dteday
388,2012-01-31
409,2012-02-29
572,2012-03-31
477,2012-04-30
681,2012-05-31
1215,2012-06-30
1968,2012-07-31
1738,2012-08-31
649,2012-09-30
571,2012-10-31
498,2012-11-30
488,2012-12-31
411,2013-01-31
373,2013-02-28
570,2013-03-31
636,2013-04-30
956,2013-05-31
1508,2013-06-30
1998,2013-07-31
2005,2013-08-31
848,2013-09-30
717,2013-10-31
578,2013-11-30
605,2013-12-31
548,2014-01-31
522,2014-02-28
584,2014-03-31
740,2014-04-30
873,2014-05-31
1543,2014-06-30
2117,2014-07-31
1921,2014-08-31
1059,2014-09-30
855,2014-10-31
601,2014-11-30
796,2014-12-31
593,2015-01-31
491,2015-02-28
682,2015-03-31
737,2015-04-30
1124,2015-05-31
1579,2015-06-30
3190,2015-07-31
2755,2015-08-31
1174,2015-09-30
1018,2015-10-31
661,2015-11-30
649,2015-12-31
552,2016-01-31
571,2016-02-29
605,2016-03-31
820,2016-04-30
886,2016-05-31
1457,2016-06-30
2484,2016-07-31
1984,2016-08-31
997,2016-09-30
772,2016-10-31
811,2016-11-30
795,2016-12-31
663,2017-01-31
678,2017-02-28
683,2017-03-31
700,2017-04-30
1099,2017-05-31
1782,2017-06-30
2757,2017-07-31
2500,2017-08-31
858,2017-09-30
624,2017-10-31
802,2017-11-30
612,2017-12-31
591,2018-01-31
513,2018-02-28
549,2018-03-31
727,2018-04-30
1141,2018-05-31
1352,2018-06-30
2522,2018-07-31
2164,2018-08-31
881,2018-09-30
737,2018-10-31
1024,2018-11-30
611,2018-12-31
532,2019-01-31
606,2019-02-28
562,2019-03-31
785,2019-04-30
985,2019-05-31
1843,2019-06-30
2602,2019-07-31
2363,2019-08-31
1047,2019-09-30
721,2019-10-31
1118,2019-11-30
779,2019-12-31
520,2020-01-31
678,2020-02-29
327,2020-03-31
412,2020-04-30
1264,2020-05-31
1860,2020-06-30
3091,2020-07-31
2403,2020-08-31
1097,2020-09-30
848,2020-10-31
962,2020-11-30
895,2020-12-31
647,2021-01-31
626,2021-02-28
675,2021-03-31
679,2021-04-30
1218,2021-05-31
2010,2021-06-30
3070,2021-07-31
2653,2021-08-31
1033,2021-09-30
759,2021-10-31
963,2021-11-30
718,2021-12-31
473,2022-01-31
553,2022-02-28
670,2022-03-31
608,2022-04-30
1133,2022-05-31
1890,2022-06-30
2459,2022-07-31
2025,2022-08-31
932,2022-09-30
780,2022-10-31
915,2022-11-30
694,2022-12-31
564,2023-01-31
601,2023-02-28
810,2023-03-31
723,2023-04-30
998,2023-05-31
1530,2023-06-30
2931,2023-07-31
1595,2023-08-31
833,2023-09-30
705,2023-10-31
970,2023-11-30
657,2023-12-31
151,2024-01-31
